student_id,school_year,subject,assessment_score,proficiency_level
STU00001,2023,Math,61.0,Basic
STU00001,2023,ELA,75.0,Proficient
STU00001,2023,Science,69.0,Basic
STU00001,2023,Social Studies,77.0,Proficient
STU00001,2024,Math,70.0,Proficient
STU00001,2024,ELA,59.0,Basic
STU00001,2024,Science,58.0,Basic
STU00001,2024,Social Studies,68.0,Basic
STU00001,2025,Math,65.0,Basic
STU00001,2025,ELA,67.0,Basic
STU00001,2025,Science,90.0,Advanced
STU00001,2025,Social Studies,63.0,Basic
STU00002,2023,Math,84.0,Proficient
STU00002,2023,ELA,71.0,Proficient
STU00002,2023,Science,76.0,Proficient
STU00002,2023,Social Studies,77.0,Proficient
STU00002,2024,Math,67.0,Basic
STU00002,2024,ELA,79.0,Proficient
STU00002,2024,Science,54.0,Below Basic
STU00002,2024,Social Studies,64.0,Basic
STU00002,2025,Math,56.0,Basic
STU00002,2025,ELA,51.0,Below Basic
STU00002,2025,Science,60.0,Basic
STU00002,2025,Social Studies,85.0,Advanced
STU00003,2023,Math,77.0,Proficient
STU00003,2023,ELA,99.0,Advanced
STU00003,2023,Science,99.0,Advanced
STU00003,2023,Social Studies,100.0,Advanced
STU00003,2024,Math,,Advanced
STU00003,2024,,100.0,Advanced
STU00003,2024,Science,84.0,Proficient
STU00003,2024,Social Studies,85.0,Advanced
STU00003,2025,Math,86.0,Advanced
STU00003,2025,ELA,86.0,Advanced
STU00003,2025,Science,86.0,Advanced
STU00003,2025,Social Studies,94.0,Advanced
STU00004,2023,Math,68.0,Basic
STU00004,2023,ELA,63.0,Basic
STU00004,2023,Science,77.0,Proficient
STU00004,2023,Social Studies,70.0,Proficient
STU00004,2024,Math,69.0,Basic
STU00004,2024,ELA,76.0,Proficient
STU00004,2024,Science,73.0,Proficient
STU00004,2024,Social Studies,89.0,Advanced
STU00004,2025,Math,71.0,Proficient
STU00004,2025,ELA,86.0,Advanced
STU00004,2025,Science,77.0,Proficient
STU00004,2025,Social Studies,76.0,Proficient
STU00005,2023,Math,79.0,Proficient
STU00005,2023,ELA,69.0,Basic
STU00005,2023,Science,83.0,Proficient
STU00005,2023,Social Studies,90.0,Advanced
STU00005,2024,Math,90.0,Advanced
STU00005,2024,ELA,72.0,Proficient
STU00005,2024,Science,70.0,Proficient
STU00005,2024,Social Studies,81.0,Proficient
STU00005,2025,Math,93.0,Advanced
STU00005,2025,ELA,86.0,Advanced
STU00005,2025,Science,76.0,Proficient
STU00005,2025,Social Studies,71.0,Proficient
STU00006,2023,Math,59.0,Basic
STU00006,2023,ELA,62.0,Basic
STU00006,2023,Science,,Proficient
STU00006,2023,Social Studies,79.0,Proficient
STU00006,2024,Math,60.0,Basic
STU00006,2024,ELA,79.0,Proficient
STU00006,2024,Science,,Proficient
STU00006,2024,Social Studies,62.0,Basic
STU00006,2025,Math,69.0,Basic
STU00006,2025,ELA,76.0,Proficient
STU00006,2025,Science,73.0,Proficient
STU00006,2025,Social Studies,58.0,Basic
STU00007,2023,Math,79.0,Proficient
STU00007,2023,ELA,87.0,Advanced
STU00007,2023,Science,94.0,Advanced
STU00007,2023,Social Studies,76.0,Proficient
STU00007,2024,Math,74.0,Proficient
STU00007,2024,ELA,80.0,Proficient
STU00007,2024,Science,83.0,Proficient
STU00007,2024,Social Studies,83.0,Proficient
STU00007,2025,Math,85.0,Advanced
STU00007,2025,ELA,72.0,Proficient
STU00007,2025,Science,85.0,Advanced
STU00007,2025,Social Studies,77.0,Proficient
STU00008,2023,Math,62.0,Basic
STU00008,2023,ELA,82.0,Proficient
STU00008,2023,Science,53.0,Below Basic
STU00008,2023,Social Studies,65.0,Basic
STU00008,2024,Math,58.0,Basic
STU00008,2024,ELA,74.0,Proficient
STU00008,2024,Science,81.0,Proficient
STU00008,2024,Social Studies,75.0,Proficient
STU00008,2025,Math,71.0,Proficient
STU00008,2025,ELA,87.0,Advanced
STU00008,2025,Science,77.0,Proficient
STU00008,2025,Social Studies,83.0,Proficient
STU00009,2023,Math,75.0,Proficient
STU00009,2023,ELA,46.0,Below Basic
STU00009,2023,Science,70.0,Proficient
STU00009,2023,Social Studies,63.0,Basic
STU00009,2024,Math,59.0,Basic
STU00009,2024,ELA,83.0,Proficient
STU00009,2024,Science,65.0,Basic
STU00009,2024,Social Studies,87.0,Advanced
STU00009,2025,Math,56.0,Basic
STU00009,2025,ELA,62.0,Basic
STU00009,2025,Science,78.0,Proficient
STU00009,2025,Social Studies,70.0,Proficient
STU00010,2023,Math,75.0,Proficient
STU00010,2023,ELA,74.0,Proficient
STU00010,2023,Science,73.0,Proficient
STU00010,2023,Social Studies,74.0,Proficient
STU00010,2024,Math,76.0,Proficient
STU00010,2024,ELA,83.0,Proficient
STU00010,2024,Science,91.0,Advanced
STU00010,2024,Social Studies,77.0,Proficient
STU00010,2025,Math,72.0,Proficient
STU00010,2025,ELA,73.0,Proficient
STU00010,2025,Science,90.0,Advanced
STU00010,2025,Social Studies,85.0,Advanced
STU00011,2023,Math,41.0,Below Basic
STU00011,2023,ELA,44.0,Below Basic
STU00011,2023,Science,53.0,Below Basic
STU00011,2023,Social Studies,64.0,Basic
STU00011,2024,Math,62.0,Basic
STU00011,2024,ELA,70.0,Proficient
STU00011,2024,Science,62.0,Basic
STU00011,2024,Social Studies,79.0,Proficient
STU00011,2025,Math,71.0,Proficient
STU00011,2025,ELA,67.0,Basic
STU00011,2025,Science,76.0,Proficient
STU00011,2025,Social Studies,53.0,Below Basic
STU00012,2023,Math,60.0,Basic
STU00012,2023,ELA,65.0,Basic
STU00012,2023,Science,68.0,Basic
STU00012,2023,Social Studies,49.0,Below Basic
STU00012,2024,Math,60.0,Basic
STU00012,2024,ELA,69.0,Basic
STU00012,2024,Science,68.0,Basic
STU00012,2024,Social Studies,77.0,Proficient
STU00012,2025,Math,69.0,Basic
STU00012,2025,ELA,65.0,Basic
STU00012,2025,Science,70.0,Proficient
STU00012,2025,Social Studies,65.0,Basic
STU00013,2023,Math,69.0,Basic
STU00013,2023,ELA,78.0,Proficient
STU00013,2023,Science,69.0,Basic
STU00013,2023,Social Studies,75.0,Proficient
STU00013,2024,Math,76.0,Proficient
STU00013,2024,ELA,77.0,Proficient
STU00013,2024,Science,80.0,Proficient
