student_id,school_year,attendance_rate,chronic_absenteeism_flag,average_assessment_score,basic_or_below_count,failed_course_count,average_final_grade,at_risk_flag,risk_due_to_attendance,risk_due_to_assessment,risk_due_to_course_failure
STU00001,2023,0.994,0,70.5,2,0,68.75,1,0,1,0
STU00001,2024,0.911,0,63.75,3,0,64.25,1,0,1,0
STU00001,2025,1.0,0,71.25,3,1,67.75,1,0,1,1
STU00002,2023,0.955,0,77.0,0,0,81.75,0,0,0,0
STU00002,2024,0.855,1,66.0,3,1,63.75,1,1,1,1
STU00002,2025,0.866,1,63.0,3,0,69.75,1,1,1,0
STU00003,2023,0.976,0,93.75,0,0,94.0,0,0,0,0
STU00003,2024,0.954,0,89.66666666666667,0,0,90.5,0,0,0,0
STU00003,2025,1.0,0,88.0,0,0,90.25,0,0,0,0
STU00004,2023,0.952,0,69.5,2,0,71.75,1,0,1,0
STU00004,2024,0.972,0,76.75,1,0,75.25,1,0,1,0
STU00004,2025,0.913,0,77.5,0,0,75.25,0,0,0,0
STU00005,2023,0.965,0,80.25,1,0,80.5,1,0,1,0
STU00005,2024,1.0,0,78.25,0,0,80.0,0,0,0,0
STU00005,2025,0.955,0,81.5,0,0,79.5,0,0,0,0
STU00006,2023,0.897,1,66.66666666666667,2,1,66.25,1,1,1,1
STU00006,2024,0.935,0,67.0,2,2,68.25,1,0,1,1
STU00006,2025,0.919,0,69.0,2,1,68.0,1,0,1,1
STU00007,2023,0.964,0,84.0,0,0,83.5,0,0,0,0
STU00007,2024,0.947,0,80.0,0,0,81.0,0,0,0,0
STU00007,2025,0.938,0,79.75,0,0,81.25,0,0,0,0
STU00008,2023,0.829,1,65.5,3,2,57.666666666666664,1,1,1,1
STU00008,2024,0.911,0,72.0,1,0,72.5,1,0,1,0
STU00008,2025,0.925,0,79.5,0,0,75.0,0,0,0,0
STU00009,2023,0.966,0,63.5,2,1,65.75,1,0,1,1
STU00009,2024,0.902,0,73.5,2,0,77.5,1,0,1,0
STU00009,2025,0.921,0,66.5,2,0,70.0,1,0,1,0
STU00010,2023,0.934,0,74.0,0,0,71.5,0,0,0,0
STU00010,2024,0.948,0,81.75,0,0,79.25,0,0,0,0
STU00010,2025,0.931,0,80.0,0,0,76.0,0,0,0,0
STU00011,2023,0.864,1,50.5,4,2,55.5,1,1,1,1
STU00011,2024,0.905,0,68.25,2,0,70.25,1,0,1,0
STU00011,2025,0.91,0,66.75,2,1,68.0,1,0,1,1
STU00012,2023,0.926,0,60.5,4,1,60.25,1,0,1,1
STU00012,2024,0.924,0,68.5,3,0,72.0,1,0,1,0
STU00012,2025,0.905,0,67.25,3,1,66.0,1,0,1,1
STU00013,2023,0.945,0,72.75,2,0,69.75,1,0,1,0
STU00013,2024,0.911,0,81.25,0,0,79.0,0,0,0,0
STU00013,2025,0.888,1,72.5,1,0,75.0,1,1,1,0
STU00014,2023,1.0,0,84.75,1,0,86.5,1,0,1,0
STU00014,2024,1.0,0,88.0,0,0,88.25,0,0,0,0
STU00014,2025,0.933,0,84.25,0,0,80.0,0,0,0,0
STU00015,2023,0.943,0,79.25,1,0,81.25,1,0,1,0
STU00015,2024,0.91,0,86.0,0,0,82.75,0,0,0,0
STU00015,2025,0.883,1,76.0,1,0,75.5,1,1,1,0
STU00016,2023,0.939,0,80.5,0,0,77.5,0,0,0,0
STU00016,2024,0.943,0,72.5,1,0,76.25,1,0,1,0
STU00016,2025,0.944,0,80.0,1,0,81.5,1,0,1,0
STU00017,2023,0.903,0,79.75,0,0,78.0,0,0,0,0
STU00017,2024,0.955,0,84.75,0,0,84.0,0,0,0,0
STU00017,2025,0.876,1,80.0,1,1,74.25,1,1,1,1
STU00018,2023,0.923,0,68.75,2,0,74.0,1,0,1,0
STU00018,2024,0.931,0,64.75,3,0,68.5,1,0,1,0
STU00018,2025,0.903,0,71.5,2,0,73.25,1,0,1,0
STU00019,2023,0.867,1,67.75,2,1,64.5,1,1,1,1
STU00019,2024,0.921,0,75.0,2,0,74.5,1,0,1,0
STU00019,2025,0.883,1,67.75,2,0,68.25,1,1,1,0
STU00020,2023,0.907,0,65.25,3,0,63.75,1,0,1,0
STU00020,2024,0.897,1,63.75,3,3,58.75,1,1,1,1
STU00020,2025,0.941,0,71.5,1,0,74.25,1,0,1,0
STU00021,2023,0.911,0,74.25,1,0,78.0,1,0,1,0
STU00021,2024,0.928,0,68.5,2,1,68.0,1,0,1,1
STU00021,2025,0.941,0,75.5,2,1,72.75,1,0,1,1
STU00022,2023,0.96,0,72.25,1,0,75.0,1,0,1,0
STU00022,2024,0.982,0,76.0,0,0,74.75,0,0,0,0
STU00022,2025,0.958,0,75.5,1,1,78.0,1,0,1,1
STU00023,2023,0.889,1,67.5,1,1,68.5,1,1,1,1
STU00023,2024,0.943,0,76.75,0,0,78.25,0,0,0,0
STU00023,2025,0.994,0,80.25,1,0,84.66666666666667,1,0,1,0
STU00024,2023,0.944,0,71.75,2,2,68.5,1,0,1,1
STU00024,2024,0.9457831325301204,0,69.75,2,1,65.5,1,0,1,1
STU00024,2025,0.931,0,76.5,1,0,72.5,1,0,1,0
STU00025,2023,0.943,0,69.0,2,0,73.5,1,0,1,0
STU00025,2024,0.859,1,66.75,3,0,65.0,1,1,1,0
STU00025,2025,0.835,1,64.5,3,2,61.5,1,1,1,1
STU00026,2023,0.879,1,56.75,4,3,54.5,1,1,1,1
STU00026,2024,0.913,0,55.5,4,3,54.25,1,0,1,1
STU00026,2025,0.869,1,54.5,4,3,53.25,1,1,1,1
STU00027,2023,0.915,0,73.5,0,0,69.75,0,0,0,0
STU00027,2024,0.988,0,70.0,1,1,64.75,1,0,1,1
STU00027,2025,0.994,0,82.25,0,0,82.5,0,0,0,0
STU00028,2023,0.96,0,77.5,1,0,78.0,1,0,1,0
STU00028,2024,1.0,0,84.25,0,0,84.5,0,0,0,0
STU00028,2025,0.936,0,83.5,0,0,80.25,0,0,0,0
STU00029,2023,0.917,0,73.5,0,0,77.0,0,0,0,0
STU00029,2024,0.915,0,70.0,2,0,71.5,1,0,1,0
STU00029,2025,0.882,1,64.75,4,1,66.0,1,1,1,1
STU00030,2023,0.961,0,73.5,1,0,68.5,1,0,1,0
STU00030,2024,0.989,0,78.0,1,1,74.75,1,0,1,1
STU00030,2025,1.0,0,80.75,0,0,83.5,0,0,0,0
