student_id,school_year,days_enrolled,days_present,attendance_rate
STU00001,2023,180,179,0.994
STU00001,2024,179,163,0.911
STU00001,2025,166,166,1.0
STU00002,2023,177,169,0.955
STU00002,2024,166,142,0.855
STU00002,2025,179,155,0.866
STU00003,2023,167,163,0.976
STU00003,2024,174,166,0.954
STU00003,2025,167,167,1.0
STU00004,2023,167,159,0.952
STU00004,2024,178,173,0.972
STU00004,2025,172,157,0.913
STU00005,2023,170,164,0.965
STU00005,2024,179,179,1.0
STU00005,2025,178,170,0.955
STU00006,2023,174,156,0.897
STU00006,2024,169,158,0.935
STU00006,2025,172,158,0.919
STU00007,2023,165,159,0.964
STU00007,2024,171,162,0.947
STU00007,2025,176,165,0.938
STU00008,2023,175,145,0.829
STU00008,2024,180,164,0.911
STU00008,2025,174,161,0.925
STU00009,2023,176,170,0.966
STU00009,2024,174,157,0.902
STU00009,2025,165,152,0.921
STU00010,2023,166,155,0.934
STU00010,2024,172,163,0.948
STU00010,2025,174,162,0.931
STU00011,2023,169,146,0.864
STU00011,2024,168,152,0.905
STU00011,2025,178,162,0.91
STU00012,2023,175,162,0.926
STU00012,2024,170,157,0.924
STU00012,2025,169,153,0.905
STU00013,2023,165,156,0.945
STU00013,2024,180,164,0.911
STU00013,2025,178,158,0.888
STU00014,2023,173,173,1.0
STU00014,2024,174,174,1.0
STU00014,2025,179,167,0.933
STU00015,2023,176,166,0.943
STU00015,2024,166,151,0.91
STU00015,2025,180,159,0.883
STU00016,2023,165,155,0.939
STU00016,2024,176,166,0.943
STU00016,2025,177,167,0.944
STU00017,2023,165,149,0.903
STU00017,2024,178,170,0.955
STU00017,2025,170,149,0.876
STU00018,2023,169,156,0.923
STU00018,2024,173,161,0.931
STU00018,2025,176,159,0.903
STU00019,2023,173,150,0.867
STU00019,2024,177,163,0.921
STU00019,2025,179,158,0.883
STU00020,2023,172,156,0.907
STU00020,2024,165,148,0.897
STU00020,2025,169,159,0.941
STU00021,2023,180,164,0.911
STU00021,2024,180,167,0.928
STU00021,2025,169,159,0.941
STU00022,2023,174,167,0.96
STU00022,2024,171,168,0.982
STU00022,2025,166,159,0.958
STU00023,2023,171,152,0.889
STU00023,2024,175,165,0.943
STU00023,2025,165,164,0.994
STU00024,2023,178,168,0.944
STU00024,2024,166,157,
STU00024,2025,173,161,0.931
STU00025,2023,174,164,0.943
STU00025,2024,177,152,0.859
STU00025,2025,176,147,0.835
STU00026,2023,173,152,0.879
STU00026,2024,172,157,0.913
STU00026,2025,175,152,0.869
STU00027,2023,177,162,0.915
STU00027,2024,170,168,0.988
STU00027,2025,171,170,0.994
STU00028,2023,177,170,0.96
STU00028,2024,176,176,1.0
STU00028,2025,171,160,0.936
STU00029,2023,169,155,0.917
STU00029,2024,165,151,0.915
STU00029,2025,178,157,0.882
STU00030,2023,179,172,0.961
STU00030,2024,176,174,0.989
STU00030,2025,169,169,1.0
STU00031,2023,180,158,87.8%
STU00031,2024,169,154,0.911
STU00031,2025,178,174,0.978
STU00032,2023,171,161,0.942
STU00032,2024,168,155,0.923
STU00032,2025,176,174,0.989
STU00033,2023,172,171,0.994
STU00033,2024,176,172,0.977
STU00033,2025,174,152,0.874
STU00034,2023,176,163,0.926
STU00034,2024,170,152,0.894
STU00034,2025,178,155,0.871
STU00035,2023,166,160,0.964
STU00035,2024,165,157,0.952
STU00035,2025,175,159,0.909
STU00036,2023,180,153,0.85
STU00036,2024,177,158,0.893
STU00036,2025,179,151,0.844
STU00037,2023,178,164,0.921
STU00037,2024,174,151,0.868
STU00037,2025,168,149,0.887
STU00038,2023,177,177,1.0
STU00038,2024,171,166,0.971
STU00038,2025,177,168,0.949
STU00039,2023,175,160,0.914
STU00039,2024,180,164,0.911
STU00039,2025,171,164,0.959
STU00040,2023,177,176,0.994
STU00040,2024,166,160,0.964
STU00040,2025,179,162,0.905
STU00041,2023,169,157,0.929
STU00041,2024,177,169,0.955
STU00041,2025,166,161,0.97
STU00042,2023,177,165,0.932
STU00042,2024,166,147,0.886
STU00042,2025,169,160,0.947
STU00043,2023,173,164,0.948
STU00043,2024,166,153,0.922
STU00043,2025,178,170,0.955
STU00044,2023,170,154,0.906
STU00044,2024,167,164,0.982
STU00044,2025,179,171,0.955
STU00045,2023,177,164,0.927
STU00045,2024,180,178,0.989
STU00045,2025,175,166,0.949
STU00046,2023,171,148,0.865
STU00046,2024,168,153,0.911
STU00046,2025,170,152,0.894
STU00047,2023,175,167,0.954
STU00047,2024,168,159,0.946
STU00047,2025,168,153,0.911
STU00048,2023,176,158,0.898
STU00048,2024,173,151,0.873
STU00048,2025,168,149,0.887
STU00049,2023,179,157,0.877
STU00049,2024,173,157,0.908
STU00049,2025,166,140,0.843
STU00050,2023,167,157,0.94
