student_id,school_year,intervention_type,intervention_start_date,intervention_end_date,intervention_hours,completed_flag
STU00002,2025,Attendance Outreach,2025-05-12,2025-07-26,15.8,No
STU00002,2025,Math Tutoring,2025-09-02,2025-11-25,11.9,No
STU00015,2025,Math Tutoring,2025-01-15,2025-03-21,2.0,Yes
STU00016,2025,Reading Support,2025-01-08,2025-03-04,8.9,n
STU00022,2025,Reading Support,2025-05-18,2025-08-04,18.3,No
STU00029,2025,Credit Recovery,2025-08-02,2025-09-14,3.9,No
STU00033,2025,Mentoring,2025-03-13,2025-04-09,14.3,Yes
STU00037,2025,Credit Recovery,2025-02-08,2025-05-06,9.0,Yes
STU00044,2025,Mentoring,2025-07-15,2025-09-18,10.7,Yes
STU00045,2025,Attendance Outreach,2025-07-14,2025-09-12,13.1,Yes
STU00049,2025,Credit Recovery,2025-01-15,2025-03-03,11.2,Yes
STU00050,2025,Mentoring,2025-08-22,2025-10-15,8.4,Yes
STU00051,2025,Reading Support,2025-01-15,2025-02-09,16.8,Yes
STU00051,2025,Mentoring,2025-07-22,2025-08-31,13.5,No
STU00053,2025,Math Tutoring,2025-09-19,2025-11-08,8.8,No
STU00053,2025,Attendance Outreach,2025-09-09,2025-11-02,14.5,Yes
STU00056,2025,Credit Recovery,2025-04-03,2025-06-21,5.6,Yes
STU00067,2025,Credit Recovery,2025-01-15,2025-04-02,8.8,No
STU00069,2025,Reading Support,2025-01-16,2025-02-14,11.6,No
STU00072,2025,Reading Support,2025-03-24,2025-06-07,9.1,Yes
STU00073,2025,Credit Recovery,2025-05-13,2025-06-28,13.0,No
STU00085,2025,Mentoring,2025-07-14,2025-08-14,15.6,Yes
STU00089,2025,Reading Support,2025-03-12,2025-06-07,13.7,Yes
STU00095,2025,Mentoring,2025-04-19,2025-05-21,14.3,No
STU00105,2025,Credit Recovery,2025-08-10,2025-10-24,15.5,No
STU00105,2025,Attendance Outreach,2025-05-01,2025-06-08,15.7,Yes
STU00109,2025,Mentoring,2025-02-04,2025-04-03,3.5,Yes
STU00110,2025,Mentoring,2025-04-08,2025-05-19,9.9,Yes
STU00114,2025,Mentoring,2025-08-14,2025-11-06,10.7,Yes
STU00116,2025,Attendance Outreach,2025-09-11,2025-10-21,15.8,Yes
STU00117,2025,Math Tutoring,2025-06-17,2025-09-08,14.5,Yes
STU00118,2025,Credit Recovery,2025-02-08,2025-05-09,19.5,Yes
STU00118,2025,Credit Recovery,2025-08-18,2025-10-11,21.0,No
STU00127,2025,Attendance Outreach,2025-07-11,2025-08-15,10.2,No
STU00132,2025,Reading Support,2025-03-06,2025-05-25,5.8,Yes
STU00136,2025,Math Tutoring,2025-06-16,2025-07-19,13.3,Yes
STU00141,2025,Mentoring,2025-02-23,2025-05-19,8.7,Yes
STU00143,2025,Math Tutoring,2025-04-14,2025-07-10,13.5,No
STU00146,2025,Math Tutoring,2025-03-07,2025-06-01,10.9,No
STU00147,2025,Mentoring,2025-01-08,2025-02-19,15.5,Yes
STU00155,2025,Mentoring,2025-06-20,2025-07-19,5.0,Yes
STU00158,2025,Reading Support,2025-06-06,2025-07-24,,No
STU00158,2025,Math Tutoring,2025-06-05,2025-09-02,14.5,Yes
STU00160,2025,Reading Support,2025-07-08,2025-08-16,15.9,No
STU00167,2025,Credit Recovery,2025-08-10,2025-11-01,11.5,No
STU00169,2025,Reading Support,2025-01-15,2025-04-07,11.6,No
STU00169,2025,Credit Recovery,2025-08-14,2025-09-09,13.2,Yes
STU00179,2025,Mentoring,2025-08-22,2025-10-01,5.3,Yes
STU00186,2025,Attendance Outreach,2025-07-04,2025-08-23,9.0,Yes
STU00193,2025,Credit Recovery,2025-04-07,2025-06-10,12.2,No
STU00203,2025,Math Tutoring,2025-09-24,2025-10-15,8.5,Yes
STU00204,2025,Mentoring,2025-02-06,2025-04-02,18.0,No
STU00207,2025,Credit Recovery,2025-04-22,2025-05-24,13.9,Yes
STU00214,2025,Math Tutoring,2025-02-19,2025-03-26,17.0,No
STU00214,2025,Reading Support,2025-01-24,2025-02-16,16.9,Yes
STU00215,2025,Mentoring,2025-08-06,2025-10-03,12.2,Yes
STU00217,2025,Attendance Outreach,2025-09-10,2025-10-02,16.9,No
STU00219,2025,Mentoring,2025-08-11,2025-09-17,2.3,Yes
STU00225,2025,Reading Support,2025-04-15,2025-06-02,15.6,No
STU00226,2025,Mentoring,2025-02-15,2025-04-21,16.5,Yes
STU00229,2025,Mentoring,2025-04-04,2025-05-29,17.9,Yes
STU00231,2025,Credit Recovery,2025-06-17,2025-07-10,9.5,Yes
STU00232,2025,Attendance Outreach,2025-03-08,2025-05-17,11.6,Yes
STU00238,2025,Credit Recovery,2025-06-24,2025-08-09,11.7,No
STU00242,2025,Math Tutoring,2025-02-02,2025-03-22,15.2,Yes
STU00247,2025,Credit Recovery,2025-02-18,2025-04-07,8.0,Yes
STU00249,2025,Attendance Outreach,2025-08-02,2025-10-16,20.7,No
STU00251,2025,Reading Support,2025-01-11,2025-02-19,8.5,Yes
STU00257,2025,Reading Support,2025-06-17,2025-08-18,20.8,Yes
STU00257,2025,Reading Support,2025-01-14,2025-02-27,15.3,Yes
STU00258,2025,Credit Recovery,2025-09-12,2025-12-01,12.0,Yes
STU00263,2025,Credit Recovery,2025-07-02,2025-08-18,4.9,Yes
STU00270,2025,Attendance Outreach,2025-01-23,2025-03-08,14.0,Yes
STU00272,2025,Mentoring,2025-04-03,2025-05-03,9.5,Yes
STU00281,2025,Math Tutoring,2025-02-04,2025-04-24,6.9,Yes
STU00283,2025,Math Tutoring,2025-06-15,2025-09-09,12.5,Yes
STU00284,2025,Mentoring,2025-01-10,2025-02-02,11.9,Yes
STU00284,2025,Math Tutoring,2025-08-10,2025-09-28,20.6,No
STU00287,2025,Attendance Outreach,2025-07-11,2025-10-07,5.6,Yes
STU00290,2025,Mentoring,2025-06-20,2025-09-16,18.4,Yes
STU00292,2025,Attendance Outreach,2025-02-01,2025-03-02,7.6,Yes
STU00292,2025,Attendance Outreach,2025-04-23,2025-06-20,5.4,No
STU00293,2025,Mentoring,2025-09-08,2025-10-20,15.7,Yes
STU00295,2025,Credit Recovery,2025-05-08,2025-07-03,10.5,Yes
STU00295,2025,Reading Support,2025-03-09,2025-04-13,14.4,Yes
STU00307,2025,Math Tutoring,2025-06-03,2025-07-15,19.1,Yes
STU00312,2025,Credit Recovery,2025-06-24,2025-09-15,15.8,Yes
STU00312,2025,Reading Support,2025-02-24,2025-03-21,30.8,Yes
STU00323,2025,Credit Recovery,2025-04-17,2025-07-05,16.6,Yes
STU00323,2025,Credit Recovery,2025-03-21,2025-04-19,12.0,
STU00324,2025,Math Tutoring,2025-04-15,2025-06-07,10.6,No
STU00329,2025,Reading Support,2025-02-19,2025-04-12,10.2,Yes
STU00332,2025,Mentoring,2025-05-06,2025-06-02,11.9,No
STU00335,2025,Reading Support,2025-06-01,2025-07-30,12.5,No
STU00336,2025,Mentoring,2025-03-12,2025-05-17,9.3,No
STU00344,2025,Credit Recovery,2025-03-11,2025-05-28,7.4,Yes
STU00346,2025,Credit Recovery,2025-08-13,2025-10-02,13.7,Yes
STU00350,2025,Math Tutoring,2025-01-17,2025-03-08,14.8,No
STU00353,2025,Reading Support,2025-07-17,2025-09-29,9.4,No
STU00356,2025,Attendance Outreach,2025-06-11,2025-07-03,11.6,Yes
STU00360,2025,Mentoring,2025-07-02,2025-07-24,12.8,No
STU00382,2025,Credit Recovery,2025-02-08,2025-03-23,12.9,No
STU00387,2025,Reading Support,2025-06-19,2025-08-27,23.1,Yes
STU00393,2025,Attendance Outreach,2025-06-02,2025-08-10,13.2,Yes
STU00393,2025,Attendance Outreach,2025-01-21,2025-03-02,18.0,Yes
STU00395,2025,Credit Recovery,2025-08-17,2025-10-10,3.3,No
STU00396,2025,Mentoring,2025-02-05,2025-03-09,18.1,Yes
STU00397,2025,Math Tutoring,2025-09-14,2025-11-14,17.9,Yes
STU00397,2025,Math Tutoring,2025-09-06,2025-10-11,14.3,Yes
STU00398,2025,Reading Support,2025-09-24,2025-11-01,17.8,YES
STU00401,2025,Math Tutoring,2025-05-22,2025-08-07,17.3,Yes
STU00410,2025,Mentoring,2025-05-12,2025-07-03,10.2,Yes
STU00410,2025,Math Tutoring,2025-07-12,2025-10-06,5.6,Yes
STU00431,2025,Credit Recovery,2025-06-11,2025-07-04,15.2,Yes
STU00433,2025,Credit Recovery,2025-03-13,2025-04-16,12.2,No
STU00443,2025,Credit Recovery,2025-06-24,2025-07-19,8.4,Yes
STU00443,2025,Math Tutoring,2025-01-24,2025-03-16,19.7,Yes
STU00451,2025,Mentoring,2025-07-03,2025-07-26,17.1,Yes
STU00456,2025,Credit Recovery,2025-01-10,2025-03-19,18.0,Yes
STU00460,2025,Reading Support,2025-07-08,2025-09-04,17.4,No
STU00461,2025,Mentoring,2025-06-10,2025-08-22,3.6,Yes
STU00461,2025,Reading Support,2025-03-21,2025-05-12,10.3,Yes
STU00463,2025,Math Tutoring,2025-09-04,2025-09-25,11.9,Yes
STU00464,2025,Mentoring,2025-09-03,2025-11-21,7.3,No
STU00467,2025,Reading Support,2025-05-07,2025-07-14,13.4,Yes
STU00467,2025,Mentoring,2025-03-10,2025-04-13,18.6,Yes
STU00471,2025,Attendance Outreach,2025-05-05,2025-08-01,17.3,No
STU00472,2025,Mentoring,2025-05-01,2025-06-19,11.9,Yes
STU00473,2025,Attendance Outreach,2025-03-13,2025-04-23,12.3,Yes
STU00479,2025,Attendance Outreach,2025-01-13,2025-02-25,17.2,No
STU00480,2025,Math Tutoring,2025-02-02,2025-05-03,15.6,Yes
STU00489,2025,Reading Support,2025-06-14,2025-07-23,8.8,Yes
STU00491,2025,Attendance Outreach,2025-09-04,2025-09-26,13.8,No
STU00493,2025,Attendance Outreach,2025-03-21,2025-05-22,18.8,No
STU00496,2025,Attendance Outreach,2025-03-05,2025-05-02,19.6,Yes
STU00506,2025,Reading Support,2025-01-12,2025-02-22,14.2,Yes
STU00508,2025,Attendance Outreach,2025-07-13,2025-09-06,2.0,Yes
STU00511,2025,Mentoring,2025-05-02,2025-07-21,12.0,No 
STU00520,2025,Attendance Outreach,2025-09-10,2025-12-01,15.2,Yes
STU00529,2025,Attendance Outreach,2025-08-13,2025-10-07,17.7,No
STU00530,2025,Math Tutoring,2025-09-05,2025-11-06,8.1,No
STU00532,2025,Credit Recovery,2025-02-01,2025-04-15,8.9,Yes
STU00535,2025,Attendance Outreach,2025-06-04,2025-07-06,7.6,Yes
STU00540,2025,Attendance Outreach,2025-06-10,2025-08-04,8.5,Yes
STU00542,2025,Credit Recovery,2025-03-21,2025-05-02,8.8,No
STU00543,2025,Attendance Outreach,2025-04-01,2025-05-07,5.8,No
STU00546,2025,Reading Support,2025-03-03,2025-05-02,16.0,Yes
STU00547,2025,Credit Recovery,2025-07-11,2025-09-04,16.0,Yes
STU00550,2025,Attendance Outreach,2025-06-20,2025-09-08,14.3,Yes
STU00557,2025,Math Tutoring,2025-09-22,2025-12-17,6.6,Yes
STU00560,2025,Credit Recovery,2025-02-16,2025-04-22,17.8,No
STU00566,2025,Attendance Outreach,2025-01-21,2025-03-01,18.4,Yes
STU00575,2025,Credit Recovery,2025-06-14,2025-09-04,11.0,Yes
STU00578,2025,Reading Support,2025-06-24,2025-08-09,12.5,No
STU00587,2025,Mentoring,2025-02-19,2025-04-22,10.8,Yes
STU00591,2025,Mentoring,2025-03-23,2025-05-11,10.1,
STU00595,2025,Math Tutoring,2025-04-19,2025-06-28,10.4,Yes
STU00609,2025,Credit Recovery,2025-04-11,2025-06-01,10.0,No
STU00613,2025,Mentoring,2025-02-15,2025-05-12,19.4,No
STU00615,2025,Mentoring,2025-07-21,2025-10-03,17.8,No
STU00615,2025,Math Tutoring,2025-02-24,2025-05-08,16.1,yes
STU00619,2025,Math Tutoring,2025-01-07,2025-02-04,12.0,Yes
STU00625,2025,Math Tutoring,2025-01-10,2025-03-24,6.5,No
STU00625,2025,Credit Recovery,2025-03-07,2025-05-16,11.8,Yes
STU00629,2025,Attendance Outreach,2025-06-03,2025-07-11,12.2,No
STU00629,2025,Mentoring,2025-03-09,2025-04-27,11.2,Yes
STU00635,2025,Math Tutoring,2025-07-23,2025-09-23,20.0,Yes
STU00635,2025,Mentoring,2025-01-08,2025-02-22,4.6,Yes
STU00638,2025,Math Tutoring,2025-09-17,2025-12-10,11.3,Yes
STU00645,2025,Reading Support,2025-05-18,2025-07-30,14.1,Yes
STU00646,2025,Reading Support,2025-03-01,2025-04-05,17.4,No
STU00646,2025,Math Tutoring,2025-01-20,2025-03-13,13.5,Yes
STU00670,2025,Credit Recovery,2025-06-06,2025-07-18,19.5,Yes
STU00670,2025,Mentoring,2025-07-10,2025-09-25,12.4,Yes
STU00671,2025,Mentoring,2025-06-10,2025-08-30,9.2,No
STU00672,2025,Math Tutoring,2025-04-16,2025-04-12,6.9,Yes
STU00680,2025,Credit Recovery,2025-07-11,2025-09-09,9.3,No
STU00687,2025,Mentoring,2025-02-08,2025-05-09,2.0,No
STU00688,2025,Credit Recovery,2025-05-07,2025-07-17,12.2,Yes
STU00693,2025,Credit Recovery,2025-01-21,2025-03-31,19.1,Yes
STU00695,2025,Math Tutoring,2025-06-15,2025-08-28,20.4,Yes
STU00699,2025,Mentoring,2025-06-19,2025-08-18,18.3,Yes
STU00700,2025,Math Tutoring,2025-05-19,2025-07-29,19.9,Yes
STU00703,2025,Credit Recovery,2025-07-13,2025-10-08,10.1,No
